의약품코드,제품명,제조사,효능,복용법,주의사항,보관법,
200511943,1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),비오신코리아(주),이 약은 영양공급으로 보충될 수 없는 셀레늄 결핍 환자에서 셀레늄 보급에 사용합니다.,2 mL(셀레늄으로서 1일 100 ?g)을 복용하며/ 1일 4 mL(셀레늄으로 200 ?g)까지 증량할 수 있습니다.경구용 액제를 입안에서 30초~1분정도 머금고 있다가 천천히 삼킵니다.이 약은 경구용으로만 사용하고 주사용으로는 사용하지 마십시오.,이 약에 과민증 환자/?12개월 미만의 영아/?셀레늄 독성환자는?이 약을 복용하지 마십시오.이 약을 복용하기 전에 심장 및?순환기계기능 장애/ 신장애/ 저단백혈증/ 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는?의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 상온(15~25℃)에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201701571,1.셀레뉴원오랄액(아셀렌산나트륨오수화물) 2.셀큐민185오랄액(아셀렌산나트륨오수화물),(주)한국비엠아이,이 약은 영양공급으로 보충될 수 없는 셀레늄 결핍 환자에서 셀레늄 보급에 사용합니다.,2 mL(셀레늄으로서 1일 100 ?g)을 복용하며/ 1일 4 mL(셀레늄으로 200 ?g)까지 증량할 수 있습니다.경구용 액제를 입안에서 30초~1분정도 머금고 있다가 천천히 삼킵니다.이 약은 경구용으로만 사용하고 주사용으로는 사용하지 마십시오.,이 약에 과민증 환자/ 12개월 미만의 영아/ 셀레늄 독성환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 심장 및 순환기계기능 장애/ 신장애/ 저단백혈증/ 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 상온(15~25℃)에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
199200813,1.영진구론산바몬드액2.영진구론산바몬드스파클링액,해태에이치티비(주),이 약은 자양강장/ 피로회복에 사용합니다.,15세 이상 및 성인은 1회 1병/ 1일 1~2회 복용합니다.이 약은 경구용으로만 사용하고 주사용으로는 사용하지 마십시오.,이 약에 과민증 환자는?이 약을 복용하지 마십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200005559,1.큐앤큐포비돈거즈볼-중(포비돈요오드)2.큐앤큐포비돈거즈볼-대(포비돈요오드),큐앤큐팜(주),이 약은 찢긴 상처/ 화상/ 창상의 살균소독/ 궤양/ 농양의 살균소독/ 감염피부면의 소독/ 수술부위의 살균소독/ 주사 및 카테터부위의 소독에 사용합니다.,1일 수회(여러 차례) 환부(질환 부위)에 적당량을 바릅니다.,이 약에 과민증 환자/?갑상선 기능 이상(특히 결절성 갑상선종/ 지방병성 갑상선종/ 하시모토갑상선염 등)/ 신부전/ 포진상 피부염/ 방사성요오드치료전후 환자/ 신생아 및 6개월 미만의 영아는 이 약을 사용하지 마십시오.이 약을 사용하기 전에?중증의 환자(화상 환자 등)/ 갑상선 질환/ 신부전?경험자/?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상의하십시오.안과용 및 내복용으로 사용하지 마십시오.눈에 들어가지 않도록 주의하고/ 만일 눈에 들어갔을 경우 즉시 깨끗한 물로 씻어내십시오.다른 제제와 혼합해서 사용하지 마십시오.비누류는 이 약의 살균작용을 약화시키므로 충분히 씻어 제거한 후 사용하십시오.환부를 깨끗이 씻고 소독하십시오.중증의 창상에 사용하는 경우의 희석액으로는 주사용 증류수 또는 멸균정제수를 사용하고/ 수도물이나 정제수를 사용하지 마십시오.,빛을 피해 실온에서 보관하십시오.,
201904494,5-엠씨크림(리도카인),주식회사 더유제약,이 약은 남성 성기 촉각의 예민성 감소에 사용합니다.,성교 5~15분전에 크림으로서 0.25~0.66 g(리도카인으로서 23~62 mg)을 도포합니다.용량과 적용 시간은 개인에 따라 다르며 최저유효량을 사용하되 24시간 이내에 최대 2 g(리도카인으로서 184 mg)을 초과하여 투여하지 않습니다.,이 약?또는 기타의 아미드계 국소마취제에 과민증 환자/?적용 부위에 외상 또는 염증 환자/?상대방이 임신중인 경우는 이 약을 사용하지 마십시오.이 약을 사용하기 전에?간?신질환/ 프로필렌글리콜에 과민증 환자는?의사 또는 약사와 상의하십시오.외용으로만 사용하십시오.눈 또는 코에 사용하지 마십시오.동일한 부위에 연속해서 도포하지 않는 것이 바람직합니다.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201803036,가네골드액,일동제약(주),이 약은 간질환의 보조 치료에 사용합니다.,성인은 1일 10~30 mL를 식간에 분할 복용합니다.이 약 10 mL를 약 반 컵의 물에 희석하여 복용합니다.,신질환/ 심근경색 및 경험자는 이 약을 복용하지 마십시오.이 약은?알콜?중독시 해독제로 사용할 수 없습니다.1개월 정도 복용하여도 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.이 약은 내복용으로만 사용하고 주사용으로 사용하지 마십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201600574,가네진정,(주)셀트리온제약,이 약은 만성 간염/ 독성 간질환의 보조치료에 사용합니다.,성인은 1회 1정 1일 2 ～ 3회 복용합니다.,이 약에 과민증 환자는?이 약을 복용하지 마십시오.이 약을 복용하기 전에 폴산이 부족한 환자는?의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.각종 요검사 시에?요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198601398,가네카정,지엘파마(주),이 약은 코감기/ 알레르기 및 혈관운동성 코염에 의한 재채기/ 콧물/ 코막힘/ 눈물의 완화에 사용합니다.,성인은 1회 1정/ 소아(12~14세)는 1회 1/2정을 1일 3회 매 식후에 복용합니다.,이 약에 과민증 환자/?중증(심한 증상)의 간 및 신기능 장애/?중증(심한 증상)의 관상심장질환/?배뇨장애/?고혈압/ 관상동맥질환/ 임부 또는 임신하고 있을 가능성이 있는 여성/ 수유부/?2세 이하의 영아/?MAO 억제제를 투여중인 환자/?파라옥시안식향산메틸에 과민증 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?천식/ 녹내장/ 부정맥/ 당뇨병/ 갑상샘기능항진증/ 12세 미만의 소아는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.장기간 계속하여 복용하지 마십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.복용 후 운전 및 기계조작 시 주의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201700839,가네타인액,동성제약(주),이 약은 간질환의 보조 치료에 사용합니다.,성인은 1일 10~30 mL를 식간에 분할 복용합니다.이 약 10 mL를 약 반 컵의 물에 희석(묽게)하여 복용합니다.,신질환/ 심근경색 환자 및 경험자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 카라멜에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.이 약은 내복제용으로만 사용하고 주사용으로 사용하지 마십시오.알코올 중독시 해독제로 사용하지 마십시오.1개월 정도 복용하여도 개선이 없을 경우 복용을 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200808096,가네탑골드연질캡슐,일양약품(주),이 약은 만성 간질환/ 간경변/ 독성 간질환의 보조치료에 사용합니다.,성인은 1회 1캡슐 1일 3회 복용합니다.,이 약에 과민증 환자/ 대두유 또는 콩/ 땅콩에 과민증 환자/ 심한 담도폐쇄 환자/ 12세 이하 소아는?이 약을 복용하지 마십시오.이 약을 복용하기 전에 고지단백혈증/ 당뇨병성 고지질혈증 및 췌장염 등 지방대사이상/ 지방과부하로 특별한 위험이 예상되는 환자/ 임부 또는 임신하고 있을 가능성이 있는 여성/ 수유부는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201803040,가네포스액,한국휴텍스제약(주),이 약은 간질환의 보조 치료에 사용합니다.,성인은 1일 10~30 mL를 식간에 분할 복용합니다.이 약 10 mL를 약 반 컵의 물에 희석하여 복용합니다.,신질환/ 심근경색 및 경험자는 이 약을 복용하지 마십시오.이 약은?알콜?중독시 해독제로 사용할 수 없습니다.1개월 정도 복용하여도 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.이 약은 내복용으로만 사용하고 주사용으로 사용하지 마십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200308596,가두벌크림,삼익제약(주),이 약은 벌레 물린데/ 피부가려움/ 습진/ 두드러기/ 피부염/ 땀띠/ 동창에 사용합니다.,1일 수회 환부에 적당량을 바릅니다.,30개월 이하의 유아/ 눈 주위/ 점막/ 습진/?옻 등에 의한 피부염/ 상처부위에는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 약 또는 화장품에 과민증/ 알레르기 체질/ 습윤이나 미란(짓무름)이 심한 환자/ 소아/?프로필렌글리콜에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.이 약은 외용으로만 사용하고 내복하지 마십시오.눈에 들어가지 않도록 주의하고/?만일 눈에 들어간?경우에는 즉시 물로 씻어내십시오.5~6일간 사용하여도 증상의 개선이 없을 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
199902902,가레오액(디히드록시디부틸에테르),조아제약(주),이 약은 소화불량증상(복부팽만감/ 소화의 지연/ 트림/ 구역)의 개선에 사용합니다.,성인은 1회 0.5~1.0 g을 1일 1~3회 식전에 복용합니다.,이 약에 과민증 환자/ 녹내장/?요로/ 전립샘/?담도(쓸개길)폐쇄/ 담석증/?급·만성 간질환 환자는 이 약을 복용하지 마십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도 복용하여도 증상의 개선이 없을 경우?복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198802329,가레오연질캡슐(디히드록시디부틸에테르),조아제약(주),이 약은 소화불량증상(복부팽만감/ 소화의 지연/ 트림/ 구역)의 개선에 사용합니다.,성인은 1회 2~4캡슐(0.5 ∼ 1.0 g)을 1일 1 ∼ 3회 식전에 씹지 말고 삼켜 복용합니다.,녹내장/ 요로/ 전립샘 환자/ 담도(쓸개길)폐쇄/ 담석증/ 급·만성 간질환(간세포기능부전환자 포함)/ 이 약에 과민증 환자는?이 약을 복용하지 마십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도 복용하여도 증상의 개선이 없을 경우?복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198802326,가레오연질캡슐500밀리그램(디히드록시디부틸에테르),조아제약(주),이 약은 소화불량증상(복부팽만감/ 소화의 지연/ 트림/ 구역)의 개선에 사용합니다.,성인은 1회 1~2캡슐(0.5~1.0 g)을 1일 1~3회 식전에 씹지 말고 삼켜 복용합니다.,이 약에 과민증 환자/ 녹내장/?요로/ 전립샘/?담도(쓸개길)폐쇄/ 담석증/?급·만성 간질환 환자는 이 약을 복용하지 마십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도 복용하여도 증상의 개선이 없을 경우?복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198601346,가소콜액(시메티콘)(군납용 : 시메티콘현탁액500밀리리터/ SimethiconeOralSuspension500ml),(주)태준제약,이 약은 위내시경 검사시 장내기포제거/ 복부 X선 촬영시 장내가스제거/ 위장관내 가스로 인한 복부 증상(복부팽만감/ 공기연하증 등)의 개선에 사용합니다.,성인은 위내시경 검사시 장내기포제거에는 검사 15~40분전에 40~80 mg을 약 10 mL의 물과 함께 복용/ 복부 X-선 검사시 장내가스제거에는 검사 3~4일전부터 1회 40~80 mg 1일 3회 식후 또는 식간에 복용/ 위장관내 가스로인한 복부증상의 개선에는 1회 40~80 mg 1일 3회 식후 또는 취침시에 복용합니다.연령/ 증상에 따라 적절히 증감합니다.,잘 흔들어 사용합니다.,습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201604859,가스제로구강필름(시메치콘),(주)씨엘팜,이 약은 위장관내 가스로 인한 복부 압박감/ 복부 팽만감 및 배부름의 완화에 사용합니다.,성인은 1회 2~4매를 식후 또는 자기 전에 필요시 혀 위에 놓고 녹여서 복용합니다.1일 8매를 초과하여 복용하지 않아야 하며/ 녹은 후에는 입안에 머금지 않고 바로 삼키도록 합니다.,,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201501890,가스큐액(시메티콘),주식회사제뉴원사이언스,이 약은 위내시경 검사시 장내기포제거/ 복부 X선 촬영시 장내가스제거/ 위장관내 가스로 인한 복부 증상(복부팽만감/ 공기연하증 등)의 개선에 사용합니다.,성인은 위내시경 검사시 장내기포제거에는 검사 15~40분전에 40~80 mg을 약 10 mL의 물과 함께 복용/ 복부 X-선 검사시 장내가스제거에는 검사 3~4일전부터 1회 40~80 mg 1일 3회 식후 또는 식간에 복용/ 위장관내 가스로인한 복부증상의 개선에는 1회 40~80 mg 1일 3회 식후 또는 취침시에 복용합니다.연령/ 증상에 따라 적절히 증감합니다.,잘 흔들어 사용합니다.,습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201800788,간프로액(L-아스파르트산-L-오르니틴),(주)유유제약,이 약은 간경변/ 만성간염과 같은 중증의 간질환 해독의 보조 치료에 사용합니다.,만성간염은?심한 증상에서 1회 1포(3 g)/ 1일 1~2회/ 간경변은?가벼운 증상에서 1회 2포(6 g)/ 1일 2회 식후에 복용합니다.,심한 신부전 환자(혈청크레아티닌수치?3 mg/100 mL이상)는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 아세틸살리실산에 과민증/ 황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.2주정도 복용하여도 증상의 개선이 없는 경우 복용을 중지하고?의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
