"기관ID","주소","비고","간이약도","기관명","대표전화1","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업일시"
"C1107724","서울특별시 노원구 한글비석로 383 1층 일부호 (중계동 삼창타워프라자)","","구로4동우체국옆","1층호약국","02-933-9487","2000","2000","2000","2000","2000","1700","1600","1330","0900","0900","0900","0900","0900","0900","1000","0900","016","99","127.0730755247","37.6591134087","2021-08-20 17:21:44.0"
"C1100205","서울특별시 관악구 보라매로3길 29","2013.10 개업","해태보라매타워3층","나나약국","02-846-3910","1900","1900","1900","1900","1900","1600","2500","2500","0900","0900","0900","0900","0900","0900","2200","2200","087","08","126.92498761696464","37.491210629351365","2021-07-20 17:21:44.0"
"C1104528","서울특별시 양천구 지양로 75","2013.10 개업","길음뉴타운 9단지 상가 101호","김약국","02-2603-4285","2200","2200","2200","2200","2200","2200","2000","1900","0900","0900","0900","0900","0900","0900","1000","0830","080","37","126.83341293143056","37.52223985864113","2021-08-20 17:21:46.0"
"C1108585","서울특별시 광진구 능동로 110 스타시티 영존빌딩 지2층 B201호 (화양동)","2013.10 개업","성애병원 신관앞","나라약국","02-453-7398","1830","1830","1830","1830","1830","1300","2500","2500","0800","0800","0800","0800","0800","0800","2200","2200","050","30","127.07141185644512","37.54065938303927","2021-03-20 17:21:43.0"
"C1102959","서울특별시 강남구 선릉로 404","2014.07 개업","선릉역2번출구전방200m","나무약국","02-561-2095","1800","1800","1800","1800","1800","1300","1300","1300","0900","0900","0900","0900","0900","0900","0900","0900","061","98","127.05094654476083","37.500984699943274","2021-03-20 17:21:43.0"
"C1104540","서울특별시 용산구 원효로 166 103호 (원효로2가 원효아파트)","2014.06 개업","중앙경리단버스정류장","남선약국","02-798-7460","1700","1700","1700","1700","1700","1400","2100","2130","1000","1000","1000","1000","1000","1000","0900","1000","043","66","126.961499875","37.5350236257","2021-07-20 17:21:44.0"
"C1101686","서울특별시 강북구 한천로 1043 (수유동)","2013.08 개업","강북구청사거리4.19탑방향한국관맞은편","늘푸른평강약국","02-993-5022","2200","2200","2200","2200","2200","2100","2200","2000","0900","0900","0900","0900","0900","0900","0900","0900","010","71","127.0260175672051","37.640355782754625","2021-07-20 17:21:45.0"
"C1103479","서울특별시 관악구 관악로 240 1층 (봉천동)","2013.10 개업","6호1층","다나온누리약국","02-886-4207","2200","2200","2200","2200","2200","2030","1400","1400","0900","0900","0900","0900","0900","0900","1000","1000","087","35","126.956577396","37.4856072286","2021-08-20 17:21:46.0"
"C1107103","서울특별시 서초구 신반포로 41  (반포동)","대표번호1 지역번호 추가20170118150453","구반포역 근처","다솜약국","02-596-0693","1900","1900","1900","1900","1900","1300","2000","2000","0900","0900","0900","0900","0900","0900","1000","1000","065","02","126.989257943087","37.50197469104982","2021-03-20 17:21:43.0"
"C1104730","서울특별시 강서구 화곡로 173  1층","청도빌딩 1층","화곡역2번출구바로앞","21C세계로약국","02-2607-0624","2000","2000","2000","2000","2000","1600","1600","1330","0900","0900","0900","0900","0900","0900","1000","0900","077","02","126.84075290459155","37.54204763413295","2021-08-20 17:21:44.0"
"C1103529","서울특별시 강북구 삼양로 429 (수유동)","2014.02 개업","동부시립병원건너편안암방면50m","대명약국","02-902-2844","2000","2000","2000","2000","2000","2000","0030","0030","0900","0900","0900","0900","0900","1000","0830","0830","010","34","127.01650958088282","37.6418035765966","2021-08-20 17:21:46.0"
"C1101534","서울특별시 성동구 독서당로 276","서울시 금천구 은행나무로34 (시흥5동 921-1)","금남시장","대우약국","02-2298-9977","2100","2100","2100","2100","2100","2000","2200","2200","0900","0900","0900","0900","0900","0900","1900","1900","047","37","127.01996664352056","37.54703445340632","2021-08-20 17:21:47.0"
"C1104524","서울특별시 동대문구 경희대로 15 (회기동)","서울시 금천구 은행나무로34 (시흥5동 921-1)","한양대학교병원/동문회관 인근","대학약국","02-966-6242","1800","1800","1800","1800","1800","1300","2200","2200","0900","0900","0900","0900","0900","0900","1000","1000","024","54","127.052269444444448","37.592958333333335","2021-01-20 17:20:03.0"
"C1106923","서울특별시 도봉구 노해로65길 10 1층 (창동)","2013.08 개업 동작구 보건소 담당자 정보수정 요청(2017.09.05)_일요일 영업안함","상도역5번출구중앙대상도터널방향","더튼튼약국","02-999-0105","1800","1800","1800","1800","1800","1400","2500","2500","0900","0900","0900","0900","0900","0900","0900","0900","014","05","127.04661057236023","37.65184689804066","2021-01-20 17:20:03.0"
"C1101261","서울특별시 금천구 독산로50길 90","2013.12 개업","거여역4번출구 1층","도영약국","02-803-6686","2000","2000","2000","2000","2000","1800","1800","1800","0900","0900","0900","0900","0900","0800","0800","0800","085","65","126.9092376948525","37.462417766639746","2021-07-20 17:21:46.0"
"C1107064","서울특별시 강서구 강서로 186 (화곡동)","2014.07 개업","191 192번지","동방약국","02-2605-4250","2100","2100","2100","2100","2100","1630","1300","2200","0830","0830","0830","0830","0830","0830","0900","0800","077","02","126.83938373197804","37.54311256223642","2021-08-20 17:21:47.0"
"C1104797","서울특별시 성북구 고려대로 80 (안암동5가)","청도빌딩 1층","화곡역2번출구바로앞","21세기고려약국","02-929-9696","1800","1800","1800","1800","1800","1230","1600","1330","0900","0900","0900","0900","0900","0900","1000","0900","028","55","127.02816002221628","37.58611666842986","2021-08-20 17:21:44.0"
"C1104167","서울특별시 강동구 풍성로51길 3 (성내동)","0220681706 약국전화번호 아님 191010","모래내시장국민은행옆","드림약국","02-484-5319","1300","1300","1300","1300","1300","1600","2200","2200","0900","0900","0900","0900","0900","0900","1030","1030","053","77","127.13251280548283","37.53010817295102","2021-03-20 17:21:44.0"
"C1107883","서울특별시 용산구 한강대로 95 지하2층 RB208호 (한강로2가 래미안용산)","2014.05 개업","송파구사거리인디안2층","래미안스타약국","02-2088-3335","2000","2100","2000","2000","2000","1430","2030","2030","0900","0900","0900","0900","0900","0900","0830","0830","043","78","126.9666528833","37.5288190969","2021-05-20 17:21:46.0"
"C1107584","서울특별시 송파구 마천로 25 1층 (방이동)","2013.10 개업","방이역 4번 출구 인근","라임약국","02-4147582","1800","1800","1800","1800","1800","1500","2200","1800","0900","0900","0900","0900","0900","1000","0830","1000","056","39","127.12390791850001","37.50968277709999","2021-08-20 17:21:47.0"
"C1107827","서울특별시 마포구 망원로 69 1층 (망원동)","1. 3째주일요일 운영","애오개역 1번 출구","망원동약국","02-333-9915","1900","1900","1900","1900","1900","1700","2400","2000","0900","0900","0900","0900","0900","0900","0900","1300","039","64","126.9045651984","37.5574153965","2021-08-20 17:21:48.0"
"C1101453","서울특별시 강서구 양천로 431","2014.01 개업","B1-2","메디참사랑약국","02-3663-7133","2000","2000","2000","2000","2000","2200","2400","2400","1000","1000","1000","1000","1000","1000","0900","0900","075","27","126.85010623695256","37.56427025866206","2021-05-20 17:21:46.0"
"C1104535","서울특별시 노원구 동일로 1550 206호(상계동고려프라자)","2014.01 개업","고려프라자 206호","메디칼약국","02-933-3588","2000","2000","2000","2000","2000","1500","1800","2400","0900","0900","0900","0900","0900","0900","0900","0900","016","74","127.057463888888890","37.666863888888891","2021-07-20 17:21:46.0"
"C1101638","서울특별시 강동구 상암로 31 (암사동)","2014.01 개업","암사역4번출구올림픽대로진입방향50m","메디칼약국","02-3426-5384","2030","2030","2030","2030","2030","1600","1700","2400","0830","0830","0830","0830","0830","0830","0900","0900","052","41","127.1271432175102","37.55048004064852","2021-03-20 17:21:45.0"
"C1102300","서울특별시 강동구 양재대로 1477 1층","2014.05 개업대표번호1 지역번호 추가20170118150453","길동역1번출구삼환빌딩6층","메디팜자연약국","02-475-1475","2000","2000","2000","2000","2000","1330","1800","2230","0830","0830","0830","0830","0830","0900","0900","0830","053","53","127.13968174923083","37.53776922555175","2021-01-20 17:20:04.0"
"C1102117","서울특별시 성동구 무수막길 97  (금호동2가)","청도빌딩 1층","화곡역2번출구바로앞","21세기메디칼약국","02-2252-6626","2100","2100","2100","2100","2100","1700","1600","1330","0900","0900","0900","0900","0900","0900","1000","0900","047","26","127.01985483978828","37.55433844889441","2021-08-20 17:21:44.0"
"C1108132","서울특별시 강동구 명일로 270 1층 (길동)","2013.12 개업","독산고개문성초등학교건너편","명일로약국","02-488-2288","1900","1900","1900","1900","1900","1400","1400","2130","0900","0900","0900","0900","0900","0900","1000","1530","053","00","127.1477518402","37.542599572","2021-07-20 17:21:47.0"
"C1107823","서울특별시 용산구 한강대로 259 109호 (갈월동 고려에이트리움)","대표번호1 지역번호 추가20170118150453","법안정사뒷건물 광장상가1층113호","미라클약국","070-7723-6050","2030","2030","2030","2030","2030","1430","2100","2200","0900","0900","0900","0900","0900","0900","1000","1100","043","22","126.9724134443","37.5415859611","2021-01-20 17:20:04.0"
"C1104144","서울특별시 노원구 덕릉로 780","청도빌딩 1층","상계동아불암아파트상가 456호","21세기보배약국","02-952-9937","2100","2100","2100","2100","2100","2030","1600","2030","0900","0900","0900","0900","0900","0900","1000","0900","016","47","127.07880694879421","37.66697458430262","2021-08-20 17:21:44.0"
"C1108120","서울특별시 영등포구 영중로 119 리마크빌 영등포 2층 204-2호 (영등포동8가)","대표번호1 지역번호 추가20170118150453","까치산역 3번 출구","365열린약국","02-2633-2800","2300","2300","2300","2300","2300","2300","2300","2300","0900","0900","0900","0900","0900","0900","0900","0900","072","28","126.9051743303","37.5268467809","2021-08-20 17:21:44.0"
"C1108948","서울특별시 양천구 신월로 389 남부빌딩 1층 105호 (신정동)","대표번호1 지역번호 추가20170118150453","SK허브빌딩 308-1호","미담약국","02-2690-6815","2300","2300","2300","2300","2300","2200","1600","2200","0800","0800","0800","0800","0800","1100","1000","1100","080","23","126.864303918068","37.5226745400703","2021-03-20 17:21:45.0"
"C1102711","서울특별시 마포구 양화로 166 지하1층(동교동미래프라자빌딩)","대표번호1 지역번호 추가20170118150453","미래프라자 지하1층","미래팜약국","02-333-5505","2100","2100","2100","2100","2100","1800","2100","1600","0900","0900","0900","0900","0900","0900","1000","1000","040","50","126.92415895822782","37.55676646945504","2021-07-20 17:21:47.0"
"C1103965","서울특별시 노원구 동일로 1548 (상계동)","청도빌딩 1층","마들역1번출구전방50m세일빌딩1층","21세기상계약국","02-937-2288","2000","2000","2000","2000","2000","1700","1900","2030","0900","0900","0900","0900","0900","0900","1000","0900","016","74","127.05763580861266","37.66663704621592","2021-08-20 17:21:44.0"
"C1108754","서울특별시 강남구 강남대로 598 보림빌딩 지하층 (논현동)","2째주 일요일 당번","미진프라자 B105호","미플러스약국","02-517-2513","1930","1930","1930","1930","1930","1700","2000","2200","1030","1030","1030","1030","1030","1000","0900","0900","060","38","127.020363312256","37.5151950134955","2021-03-20 17:21:46.0"
"C1102838","서울특별시 관악구 남부순환로 1615  (신림동)","대표번호1 지역번호 추가20170118150453","신림역8번출구바로앞","365열린약국","02-874-2332","2300","2300","2300","2300","2300","2300","2300","2300","0900","0900","0900","0900","0900","0900","1000","1000","087","54","126.93008882555883","37.484556562539716","2021-08-20 17:21:44.0"
"C1102678","서울특별시 마포구 월드컵북로 69 1층 (성산동)","2014.06 개업","수유사거리에서신일병원쪽","바다약국","02-324-8476","1900","1900","1900","1900","1900","1700","2100","2230","0900","0900","0900","0900","0900","0900","1300","0930","039","99","126.91634177733267","37.55992909942958","2021-07-20 17:21:47.0"
"C1107817","서울특별시 강남구 남부순환로 2933 대치상가 1층 101호 (대치동)","2013.12 폐업 후 개업","등촌역2번출구 등촌시장앞","박약국","02-2666-4679","2000","2000","2000","2000","2000","1700","1800","1800","0900","0900","0900","0900","0900","0900","1200","1200","062","80","127.05614429789215","37.49070517644355","2021-03-20 17:21:46.0"
"C1108637","서울특별시 구로구 남부순환로97길 3 KS프리미어빌딩 105호 (개봉동)","대표번호1 지역번호 추가20170118150453","신림역8번출구바로앞","365열린약국","02-3666-0784","2230","2230","2230","2230","2230","2230","2230","2230","0830","0830","0830","0830","0830","0830","0830","0830","083","28","126.858255129585","37.49399577225","2021-08-20 17:21:44.0"
"C1101593","서울특별시 강북구 도봉로96길 11 1층 (번동)","2013.03 폐업 / 2013. 04 개업","서울간호전문대정문지나우측방향100m우리은행앞","백화점약국","02-994-1282","2130","2130","2130","2130","2130","2130","1900","1900","0830","0830","0830","0830","0830","0830","1300","1300","010","56","127.02965354978393","37.64065855673778","2021-03-20 17:21:46.0"
"C1100329","서울특별시 도봉구 도봉로 733 (도봉동)","대표번호1 지역번호 추가20170118150453","도봉구 방학역 1번출구앞 도로 건너편","365일팜코리아약국","02-955-7017","2130","2130","2130","2130","2130","1900","1900","1900","0900","0900","0900","0900","0900","0900","1000","1000","013","49","127.04330307766492","37.669925450124374","2021-08-20 17:21:44.0"
"C1104798","서울특별시 영등포구 영등포로 232-1","청도빌딩 1층","마들역1번출구전방50m세일빌딩1층","21세기신천지약국","02-2678-3222","2100","2100","2100","2100","2100","1900","1900","1800","0900","0900","0900","0900","0900","0900","1000","0900","073","02","126.90715217610938","37.51927632914123","2021-08-20 17:21:44.0"
"C1102906","서울특별시 서초구 신반포로15길 29","2013.03 폐업 / 2013. 04 개업","신반포상가235호","버클리약국","02-592-4222","1900","1900","1900","1900","1900","1600","2100","1300","0900","0900","0900","0900","0900","0900","0800","0900","065","03","126.9946995973372","37.50547100379426","2021-08-20 17:21:49.0"
"C1109097","서울특별시 동대문구 답십리로 9 1층 A호 (전농동)","한약국","발산동성당옆","봄날약국","02-3295-5458","2000","2000","2000","2000","2000","1500","2200","2100","0900","0900","0900","0900","0900","0900","0830","1000","025","59","127.043528549832","37.5784693244422","2021-08-20 17:21:49.0"
"C1109117","서울특별시 금천구 가산디지털1로 1 더루벤스밸리 208-1호 (가산동)","한약국","신림역6번출구","봄약국","02-839-0492","1930","1930","1930","1930","1930","1400","1400","2200","0900","0900","0900","0900","0900","1000","0900","1500","085","94","126.887172931767","37.4662798253977","2021-08-20 17:21:50.0"
"C1101642","서울특별시 구로구 경인로53길 15","일요일공휴일은 주변 5개 약국이 한번씩 돌아가면서 운영함","중앙유통상가 지하 C-11호","뿌리약국","02-2687-3966","1900","1900","1900","1900","1900","1300","1800","1800","0830","0830","0830","0830","0830","0900","1100","1100","082","17","126.87479801991877","37.50054866060107","2021-05-20 17:21:48.0"
"C1108991","서울특별시 노원구 상계로 59 동익빌딩 1층 78호 (상계동)","대표번호1 지역번호 추가20170118150453","도봉구 방학역 1번출구앞 도로 건너편","365정화약국","02-935-4869","2300","2300","2300","2300","2300","2300","2300","2300","0900","0900","0900","0900","0900","0900","1300","1300","016","94","127.06151518884","37.6561602782805","2021-08-20 17:21:44.0"
"C1101369","서울특별시 강남구 개포로 615  (개포동)","대표번호1 지역번호 추가20170118150453","석탑프라자 2층","사랑약국","02-3411-9305","1600","1600","1600","1600","1600","1300","1300","1300","0900","0900","0900","0900","0900","0800","0900","0900","063","35","127.07558622118354","37.492658533155954","2021-08-20 17:21:50.0"
"C1101447","서울특별시 서대문구 연희맛로 28","02-2645-7381 연결안됨. 02-3789-7173이 연결가능 번호임","1층","삼성약국","02-324-2834","2100","2100","2100","2100","2100","1800","1800","1900","1000","1000","1000","1000","1000","1000","1000","0900","037","08","126.93048330464256","37.56733365315491","2021-08-20 17:21:50.0"
"C1101312","서울특별시 송파구 백제고분로 203 (삼전동)","대표번호1 지역번호 추가20170118150453","금호동금남시장3거리","삼전종로약국","02-415-5716","2000","2000","2000","2000","2000","1700","1900","1300","0900","0900","0900","0900","0900","0900","0800","0900","056","06","127.08940915854671","37.50420698002853","2021-08-20 17:21:50.0"
"C1101308","서울특별시 동작구 상도로22길 46 (상도동)","13주 일요일 개문","장승배기전철역3번출구","상도시장약국","02-813-2149","2000","2000","2000","2000","2000","1930","2300","2200","0900","0900","0900","0900","0900","0900","1000","0900","069","59","126.93714584572368","37.50133429891292","2021-08-20 17:21:50.0"
"C1102719","서울특별시 마포구 월드컵로 240 (성산동)","13주 일요일 개문","상암월드컵경기장내홈플러스2층","상암월드약국","02-304-1871","2230","2230","2230","2230","2230","2230","2230","2230","1000","1000","1000","1000","1000","1000","1000","1000","039","32","126.89739435126651","37.568152433151674","2021-07-20 17:21:49.0"
"C1102120","서울특별시 광진구 용마산로 49 (중곡동)","청도빌딩 1층","마들역1번출구전방50m세일빌딩1층","21세기약국","02-2201-9469","2100","2100","2100","2100","2100","2100","1900","1800","0900","0900","0900","0900","0900","0900","1000","0900","049","23","127.0876806312264","37.55796921118739","2021-08-20 17:21:44.0"
"C1103860","서울특별시 동작구 성대로 52 (상도동)","매주 마지막주 일요일에만 09:00~17:00 운영/ 명절연휴는 운영하지 않음","지하철6호선봉화산역앞","새비타민약국","02-813-0294","0930","0930","0930","0930","0930","1500","1400","1900","0900","0900","0900","0900","0900","0900","0900","0900","070","44","126.9205943556","37.4987179999","2021-05-20 17:21:49.0"
"C1109072","서울특별시 강동구 고덕로 262 고덕역 효성해링턴 타워 더퍼스트 1층 121호 (명일동)","3째주 일요일 당번","석계역에서석관지구대옆사거리우측코너.","새빛약국","02-441-0887","2030","2030","2030","2030","2030","1400","1400","1500","0845","0845","0845","0845","0845","0845","0900","0900","052","69","127.154622234195","37.5546676606413","2021-07-20 17:21:49.0"
"C1102882","서울특별시 영등포구 양평로 102","3째주 일요일 당번","선유도역 4번 출구 인근","새성심약국","02-2678-0139","2100","2100","2100","2100","2100","2000","2300","2300","0900","0900","0900","0900","0900","0900","1100","1100","072","06","126.89627282643505","37.536959340122905","2021-08-20 17:21:50.0"
"C1104116","서울특별시 구로구 경인로 661 2층 211-1호 (신도림동 신도림1차푸르지오)","2015.11.23~2016.3.31 휴업","신도림1차푸르지오상가 211-1","새튼튼약국","02-2632-3245","2000","2100","2000","2100","2000","1700","1800","1800","0900","0900","0900","0900","0900","0900","1000","1000","082","08","126.8869872307475","37.509048584371186","2021-07-20 17:21:49.0"
"C1108956","서울특별시 영등포구 여의대방로 376 나라키움여의도빌딩 107108호 (여의도동)","대표번호1 지역번호 추가20170118150453","배문고등학교정문에서 1분거리 건너편 골목","샛강온누리약국","02-6014-9104","2030","2030","2030","2030","2030","1800","1430","2030","0830","0830","0830","0830","0830","0830","0900","0900","073","42","126.931354574177","37.5181886056247","2021-05-20 17:21:49.0"
"C1104634","서울특별시 성동구 아차산로7길 7 1층 (성수동2가)","대표번호1 지역번호 추가20170118150453","성수역 1번 출구","선약국","02-465-1230","1300","1300","1300","1300","1300","1500","2000","1500","0900","0900","0900","0900","0900","0900","1100","0900","047","93","127.05427108162047","37.545988005023396","2021-01-20 17:20:05.0"
"C1104522","서울특별시 중랑구 신내로16길 17 103호 (신내동)","2014.04 개업","서울의료원 인근","서울메디칼약국","02-3422-5000","1830","1830","1830","1830","1830","1600","1800","1800","0900","0900","0900","0900","0900","0900","0900","0900","020","53","127.09717904502234","37.61417651174482","2021-08-20 17:21:51.0"
"C1107874","서울특별시 관악구 난곡로 214 1층 (신림동 금정빌딩)","2014.04 개업","미아리고개성북성심병원1층","서울온누리약국","02-839-0208","2000","2000","2000","2000","2000","1500","1300","1900","0830","0830","0830","0830","0830","0830","0900","0900","088","49","126.9181289925","37.4738989533","2021-08-20 17:21:51.0"
"C1104490","서울특별시 강서구 강서로 194-9 1층 (화곡동)","대표번호1 지역번호 추가20170118150453","화곡역1번출구전방300m유광사여성병원주차장앞","선약국","02-2605-0556","1930","1930","1930","1930","1930","1630","2000","1630","0830","0830","0830","0830","0830","0830","1100","0830","076","98","126.83889741539717","37.54404893823865","2021-05-20 17:21:50.0"
"C1102997","서울특별시 마포구 월드컵북로 233  (성산동 성산시영아파트)","01091131193","성산시영아파트상사 2층 217호","성산혜민약국","02-309-1269","1900","1900","1900","1900","1900","1500","2100","2100","0830","0830","0830","0830","0830","0830","0900","0900","039","36","126.90321464323034","37.56989092341642","2021-05-20 17:21:50.0"
"C1103273","서울특별시 영등포구 여의대방로 177  (신길동)","청도빌딩 1층","보라매역6번출구서울공고맞은편육교밑","21세기약국","02-2678-2854","2100","2100","2100","2100","2100","2100","1900","1800","0900","0900","0900","0900","0900","0900","1000","0900","073","91","126.9211599101","37.5029098576","2021-08-20 17:21:44.0"
"C1102118","서울특별시 관악구 신림로 370","청도빌딩 1층","신림역7번출구전방250m","21세기약국","02-888-2272","1900","1900","1900","1900","1900","1330","1900","1800","0830","0830","0830","0830","0830","0830","1000","0900","087","53","126.92911186084466","37.48729928337424","2021-08-20 17:21:44.0"
"C1108026","서울특별시 용산구 한강대로 69 3층 305-1호 (한강로2가 용산푸르지오써밋)","대표번호1 지역번호 추가20170118150453","도봉구 방학역 1번출구앞 도로 건너편","3층 파란문 약국","02-796-9008","2000","2000","2000","2000","2000","1530","2300","2300","1000","1000","1000","1000","1000","1000","1300","1300","043","78","126.964893365","37.5270418114","2021-08-20 17:21:44.0"
"C1104365","서울특별시 동작구 동작대로17길 3 (사당동)","외부노출을 원하지 않음","서울시서대문구남가좌동293-85","솔약국","02-523-6875","1900","1900","1900","1900","1900","1400","1400","2100","0900","0900","0900","0900","0900","0900","1000","0900","070","14","126.9813264278","37.4826908607","2021-03-20 17:21:49.0"
"C1104110","서울특별시 중구 다산로11길 3 약수JK빌딩 2층 (신당동)","청도빌딩 1층","3호선 약수역 9번출구","2층바른약국","02-2233-6267","1900","1900","2000","1900","1900","1500","1900","1800","0900","0900","0900","0900","0900","0900","1000","0900","045","98","127.01003607700001","37.5544297915","2021-08-20 17:21:44.0"
"C1107216","서울특별시 강북구 삼양로123길 6-8 1층 (수유동)","2014.01 개업","롯데슈퍼 수유시장주차장앞","수유파랑새약국","02-993-6240","1900","1900","1900","1900","1900","1600","1800","2100","0830","0830","0830","0830","0830","0830","0830","1000","010","29","127.01537383235921","37.64526711388257","2021-03-20 17:21:49.0"
"C1102957","서울특별시 강동구 고덕로 391 (고덕동)","2013.04 명칭변경","상일역2번출구앞","스마일약국","02-442-1008","2030","2030","2030","2030","2030","1600","2000","1600","0830","0830","0830","0830","0830","0830","1400","0900","052","22","127.1689808290935","37.55722492457705","2021-08-20 17:21:52.0"
"C1101039","서울특별시 용산구 후암로28길 38 남산리치빌 (후암동)","대표번호1 지역번호 추가20170125131431","후암동244-80신명약국","신명약국","02-754-9854","2000","2000","2000","2000","2000","2000","2000","1800","0900","0900","0900","0900","0900","0900","1600","0900","043","31","126.97913791916719","37.54936193546509","2021-01-20 17:20:06.0"
"C1104201","서울특별시 구로구 경인로47길 126 (고척동)","2013.12 개업","카페골목뒤주택","시장약국","02-2681-3535","2030","2030","2030","2030","2030","1500","1500","1900","0900","0900","0900","0900","0900","0900","1000","0830","082","18","126.86347060648302","37.50420516556238","2021-05-20 17:21:51.0"
"C1100975","서울특별시 노원구 마들로3길 15 월계이마트 2층 (월계동)","2013.10 개업","이마트 월계점 내","신동아약국","02-978-5344","2200","2200","2200","2200","2200","2200","2200","2230","1000","1000","1000","1000","1000","1000","1000","1000","019","06","127.06197830461335","37.62650773942647","2021-03-20 17:21:49.0"
"C1107715","서울특별시 강남구 봉은사로 109 싼타홍메디컬타워 지하1층 (논현동)","2013.11 폐업 후 개업","신논현역 3번출구","신논현약국","02-545-3580","1800","1800","1800","1800","1800","1500","1300","1300","0900","0900","0900","0900","0900","0900","0900","0900","061","20","127.0255826181","37.5051174338","2021-08-20 17:21:52.0"
"C1102570","서울특별시 영등포구 신풍로 33  (신길동)","2013.10 개업","신풍역 5번 출구 인근","신영약국","02-832-2145","2100","2100","2100","2100","2100","2100","1200","1300","1000","1000","1000","1000","1000","1000","1000","0900","073","93","126.910079718","37.5003935434","2021-08-20 17:21:53.0"
"C1102318","서울특별시 동작구 장승배기로 107 1층 2호 (노량진동)","한약만취급","옥수역 2번 출구","엄마랑약국","02-517-0042","1900","1900","1900","1900","1900","1600","1900","1300","0900","0900","0900","0900","0900","0900","0900","0900","069","36","126.93970384308457","37.50723839534345","2021-07-20 17:21:52.0"
